"title,artist,album,duration,url"
"1914 - The Blind Leading the Blind (Full Album),"""","""",""56:13"",""https://music.youtube.com/watch?v=O5eIj2ePC5E&list=LM"""
"Zeit,"""","""",""6:20"",""https://music.youtube.com/watch?v=EbHGS_bVkXY&list=LM"""
"Room Of Angel,"""","""",""7:09"",""https://music.youtube.com/watch?v=eX6GmN4usKY&list=LM"""
"??? ???? ?? ????? ??DSBM cover,"""","""",""1:18"",""https://music.youtube.com/watch?v=H7d7AMbZ92k&list=LM"""
"Metallica | ??? ???,"""","""",""24:03"",""https://music.youtube.com/watch?v=-kijgs1UMLo&list=LM"""
"HISTORY OF METAL,"""","""",""12:25"",""https://music.youtube.com/watch?v=kbk7ThCAApk&list=LM"""
"Time,"""","""",""6:09"",""https://music.youtube.com/watch?v=mc5WqcFmtq4&list=LM"""
"15 SAD RIFFS,"""","""",""12:16"",""https://music.youtube.com/watch?v=6cxkWGFllgE&list=LM"""
"The Witcher 3 - Steel for Humans / Lazare (Gingertail Cover),"""","""",""2:51"",""https://music.youtube.com/watch?v=bmQwZhcZkbU&list=LM"""
"Pestilence Shall Come,"""","""",""6:02"",""https://music.youtube.com/watch?v=kgijKmkw-v8&list=LM"""
"?????? ??? (?????? ????) - ????????? ???? (??????  ?.?????????),"""","""",""6:14"",""https://music.youtube.com/watch?v=pld9KjxgBRM&list=LM"""
"Morbid Angel - Desolate Ways Full Cover,"""","""",""1:43"",""https://music.youtube.com/watch?v=YhcxKKVMfWg&list=LM"""
"Calm in Ire (Of Hurricane),"""","""",""4:32"",""https://music.youtube.com/watch?v=LIk1f0_5FPA&list=LM"""
"Winterbane,"""","""",""5:13"",""https://music.youtube.com/watch?v=Yv-oC5zCwn8&list=LM"""
"Harvest Pyre,"""","""",""4:34"",""https://music.youtube.com/watch?v=T_qa-wNbC4w&list=LM"""
"BELZEBUBS - Cathedrals Of Mourning (OFFICIAL VIDEO),"""","""",""5:27"",""https://music.youtube.com/watch?v=SkdkZN1rduo&list=LM"""
"Deutschland,"""","""",""9:23"",""https://music.youtube.com/watch?v=NeQM1c-XCDc&list=LM"""
"Alina Gingertail - Ginger Jig,"""","""",""1:37"",""https://music.youtube.com/watch?v=Bx3q_ZubwSI&list=LM"""
"Time,"""","""",""6:01"",""https://music.youtube.com/watch?v=SaZiUBfXKEs&list=LM"""
"Lacuna Coil - Our Truth (Cover With Russian Vocal) feat Svetlana Amelchenko,"""","""",""3:46"",""https://music.youtube.com/watch?v=Ut4SLrKg9Cc&list=LM"""
"Bloodborne - Cleric Beast Theme (Gingertail Cover),"""","""",""3:03"",""https://music.youtube.com/watch?v=1Q2ixrm10AY&list=LM"""
"Rotting Christ-The Call (Official Lyric Video),"""","""",""5:06"",""https://music.youtube.com/watch?v=wAh-zHFYgl0&list=LM"""
"TES V: Skyrim - Tale of the Tongues (Gingertail Cover),"""","""",""3:30"",""https://music.youtube.com/watch?v=-pKGQ-Fp25I&list=LM"""
"Enchanter - Dragon Age Inquisition (Gingertail Cover),"""","""",""3:28"",""https://music.youtube.com/watch?v=deJWab2-xtc&list=LM"""
"Ladies of the Woods - The Witcher 3: Wild Hunt (Gingertail Cover),"""","""",""2:57"",""https://music.youtube.com/watch?v=BKHUZ7CufC4&list=LM"""
"Lullaby of Woe - Witcher 3: Blood and Wine (Gingertail Cover),"""","""",""3:12"",""https://music.youtube.com/watch?v=10nHhBxh3H8&list=LM"""
"Sonne,"""","""",""4:13"",""https://music.youtube.com/watch?v=StZcUAPRRac&list=LM"""
"Mephorash - I AM (OFFICIAL MUSIC VIDEO),"""","""","""",""https://music.youtube.com/watch?v=Q2U0-OMxsME"""
"Shem Ha Mephorash,"""","""","""",""https://music.youtube.com/watch?v=XQiyp1LPBh4"""
"Schem Ha Mephoresh - Funny Conversations with Googles Notebook LM,"""","""","""",""https://music.youtube.com/podcast/ux2YK6VbJ6U"""
"Method: 72 Shem Angels. How to Form an Operation. Geomancy Continues. Taliesin McKnight ECH 6,"""","""","""",""https://music.youtube.com/podcast/j5t18s1c6JU"""
"72 Shem Angels in Agrippa's ""Three Books of Occult Philosophy,"" Geomancy & Fortuna Major. ECH 5,"""","""","""",""https://music.youtube.com/podcast/sWmhvhEH9HI"""
"Insatanity - Shemhamforash,"""","""","""",""https://music.youtube.com/watch?v=-2JRBP-Nzwk"""
"Le selam: Tableau III: Conjuration des Djinns (Evocation of the Djinns),"""","""","""",""https://music.youtube.com/watch?v=ojktmvuw0uE"""
"Shemhamphorasch,"""","""","""",""https://music.youtube.com/watch?v=pzqLzbLtIeE"""
"SERPENTS,"""","""","""",""https://music.youtube.com/watch?v=myQ9yPcTZ6M"""
"Schechina,"""","""","""",""https://music.youtube.com/watch?v=iojhe0pODzE"""
