"title,artist,album,duration,url"
"A Glimpse of Sorrow (feat. Pim Blankenstein),"""","""",""11:47"",""https://music.youtube.com/watch?v=zISa5JQOLAQ&list=LM"""
"Thou Art Free,"""","""",""4:47"",""https://music.youtube.com/watch?v=c7208kMCr4k&list=LM"""
"Tied My Hands,"""","""",""5:14"",""https://music.youtube.com/watch?v=22_XVqpK7Bo&list=LM"""
"Bridge to Cross,"""","""",""5:50"",""https://music.youtube.com/watch?v=LQ04BkiDyts&list=LM"""
"Everwake,"""","""",""2:40"",""https://music.youtube.com/watch?v=mpJ20iIwi1k&list=LM"""
"Blackened Waters,"""","""",""3:57"",""https://music.youtube.com/watch?v=NyRRqPTcbsU&list=LM"""
"Fire It Up,"""","""",""5:00"",""https://music.youtube.com/watch?v=Gnhzi2_f0y8&list=LM"""
"Rust,"""","""",""6:09"",""https://music.youtube.com/watch?v=cxGZj3xLzfI&list=LM"""
"Kingdom,"""","""",""9:32"",""https://music.youtube.com/watch?v=lJVkvAx_W5Q&list=LM"""
"Ring Of Gold,"""","""",""5:36"",""https://music.youtube.com/watch?v=ollAN6rtYzc&list=LM"""
"Reflection,"""","""",""11:08"",""https://music.youtube.com/watch?v=f9vp7Jbc0p8&list=LM"""
"Dear Sun,"""","""",""3:33"",""https://music.youtube.com/watch?v=hRj8hS3KKDI&list=LM"""
"Sleeping Murder,"""","""",""8:35"",""https://music.youtube.com/watch?v=ELDZitqQtug&list=LM"""
"...In The Mist,"""","""",""13:44"",""https://music.youtube.com/watch?v=LgtrGu2ndwU&list=LM"""
"Paradise Belongs To You,"""","""",""10:15"",""https://music.youtube.com/watch?v=rjZtWIWjoNU&list=LM"""
"Someone I (Don't) Know,"""","""",""7:43"",""https://music.youtube.com/watch?v=JnxwpYwH_W0&list=LM"""
"Softly On The Path You Fade,"""","""",""7:09"",""https://music.youtube.com/watch?v=Nhos3kY6mdU&list=LM"""
"Burning Clean (Friction Album Version),"""","""",""6:30"",""https://music.youtube.com/watch?v=4B9Nhj1_cd4&list=LM"""
"Chains,"""","""",""8:56"",""https://music.youtube.com/watch?v=99mpBY3mSXU&list=LM"""
"With Or Without,"""","""",""6:25"",""https://music.youtube.com/watch?v=syhd7G0Hykk&list=LM"""
"The Oaken Throne,"""","""",""7:28"",""https://music.youtube.com/watch?v=b7p2CRxGXW4&list=LM"""
"Heaven Was Blind to My Grief,"""","""",""8:33"",""https://music.youtube.com/watch?v=bLrxbI4DwNQ&list=LM"""
"Where at Night the Wood Grouse Plays,"""","""",""5:32"",""https://music.youtube.com/watch?v=FMd76RsA51c&list=LM"""
"Black Orchid (Studio),"""","""",""3:41"",""https://music.youtube.com/watch?v=5RcLwmPG3ys&list=LM"""
"Sunset Of Age (Studio),"""","""",""6:56"",""https://music.youtube.com/watch?v=AomEZbdbOQc&list=LM"""
"Alone (Studio),"""","""",""4:25"",""https://music.youtube.com/watch?v=FtI8ceAhZag&list=LM"""
"Porcelain Heart,"""","""",""8:01"",""https://music.youtube.com/watch?v=1ShepIkD8xU&list=LM"""
"Sound Of Snow,"""","""",""4:42"",""https://music.youtube.com/watch?v=FtfRZ4kjv0w&list=LM"""
"Everything Here Is Black and Blinding,"""","""",""7:43"",""https://music.youtube.com/watch?v=RpGRe26Y3CI&list=LM"""
"Under The Weeping Moon,"""","""",""9:53"",""https://music.youtube.com/watch?v=AP0-qbw-dSg&list=LM"""
"From Forest to Firmament,"""","""",""9:32"",""https://music.youtube.com/watch?v=Jy8u9emRuHM&list=LM"""
"Closer,"""","""",""6:22"",""https://music.youtube.com/watch?v=TCaWi321SPU&list=LM"""
"Harmonium,"""","""",""5:29"",""https://music.youtube.com/watch?v=rQEVmh6aZVQ&list=LM"""
"Anyone, Anywhere,"""","""",""4:51"",""https://music.youtube.com/watch?v=Vzie8_XlpWA&list=LM"""
"Loddf?fnir,"""","""",""5:18"",""https://music.youtube.com/watch?v=L9LxO7QFx-c&list=LM"""
"En fragmentarisk resa genom tidsrymden,"""","""",""13:09"",""https://music.youtube.com/watch?v=LTb5oWLfMoA&list=LM"""
"As the Northern Wind Cries,"""","""",""5:24"",""https://music.youtube.com/watch?v=B6gq1YU-ibg&list=LM"""
"Grey,"""","""",""8:10"",""https://music.youtube.com/watch?v=tsM2wPmcK88&list=LM"""
"Leaving Eden,"""","""",""5:51"",""https://music.youtube.com/watch?v=NwpBKVTeMVI&list=LM"""
"Liturgiya,"""","""",""6:33"",""https://music.youtube.com/watch?v=MY2DF1KVatM&list=LM"""
"Pantheist,"""","""",""7:18"",""https://music.youtube.com/watch?v=MsjQolqZpGM&list=LM"""
"Febersvan,"""","""",""7:28"",""https://music.youtube.com/watch?v=P6oqwy68qyU&list=LM"""
"Cult Classic,"""","""",""4:54"",""https://music.youtube.com/watch?v=0ZdiW1nhw2k&list=LM"""
"????? 5,"""","""",""5:34"",""https://music.youtube.com/watch?v=XVBkYi7FoPs&list=LM"""
"Bubbles,"""","""",""4:39"",""https://music.youtube.com/watch?v=w2QzK--snhY&list=LM"""
"Cheyenne,"""","""",""4:25"",""https://music.youtube.com/watch?v=nf3GL-8FWBg&list=LM"""
"Schoenberg,"""","""",""4:00"",""https://music.youtube.com/watch?v=QrTIa4dATZw&list=LM"""
"In Tooth & Claw,"""","""",""5:43"",""https://music.youtube.com/watch?v=WQeqnoQaSi0&list=LM"""
"Blvd. Nights,"""","""",""3:09"",""https://music.youtube.com/watch?v=UW970rB73fw&list=LM"""
